Cloudiness,Country,Humidity,Latitude,Longitude,Max_Temp,Temperature (F),Wind Speed,city
48,RU,70,56.9,62.03,4.41,4.41,2.64,Sukhoy Log
36,CN,78,45.63,85.18,47.66,47.66,2.64,Baijiantan
90,CA,85,49.78,-74.86,21.2,21.2,3.36,Chapais
80,UA,94,50.74,33.49,29.52,29.52,12.3,Romny
90,IT,93,46.08,11.97,50.0,50.0,5.82,Can
75,ES,100,43.03,-8.81,50.0,47.35,6.93,Santa Comba
12,CN,85,26.46,111.6,66.15,66.15,4.09,Yongzhou
12,ID,85,-8.09,111.9,81.99,81.99,0.74,Boyolangu
0,BR,100,-20.97,-46.12,66.06,66.06,2.13,Carmo do Rio Claro
80,ZA,91,-30.74,30.45,72.54,72.54,15.32,Port Shepstone
0,PK,57,26.23,66.31,55.71,55.71,3.02,Bela
0,CA,67,54.11,-112.47,15.12,15.12,5.37,Smoky Lake
75,MX,72,23.22,-106.42,68.0,68.0,2.24,Mazatlan
0,CA,74,49.85,-100.93,16.74,16.74,7.9,Virden
0,CN,87,38.3,116.85,59.31,59.31,11.41,Cangzhou
5,MX,69,17.91,-94.09,78.8,78.8,7.61,Las Choapas
1,US,33,29.99,-97.88,60.8,59.02,18.34,Kyle
0,IN,64,30.62,78.32,46.58,46.58,2.13,Dunda
20,ZA,98,-28.55,16.43,62.73,62.73,3.87,Oranjemund
24,BR,80,-28.29,-49.93,62.19,62.19,2.13,Sao Joaquim
0,MM,73,16.78,94.73,81.72,81.72,4.54,Pathein
88,RU,96,42.85,44.0,21.33,21.33,0.78,Sadon
0,ML,42,14.25,-5.99,70.38,70.38,5.66,Niono
20,NO,100,62.91,6.91,33.8,33.22,6.93,Bud
20,RU,75,54.0,84.74,0.0,0.0,3.09,Zalesovo
75,JP,28,38.69,141.2,46.4,45.37,14.99,Tome
8,TZ,93,-1.9,34.02,56.21,56.21,2.53,Nyamuswa
0,RU,83,59.14,68.9,-13.1,-13.1,2.64,Uvat
0,NG,29,12.81,11.04,68.31,68.31,7.38,Jawa
92,SE,100,58.9,17.95,33.8,33.8,10.29,Nynashamn
80,JP,100,42.97,140.51,33.08,33.08,8.34,Iwanai
40,US,100,29.29,-81.06,69.8,68.25,3.36,Ormond Beach
64,RU,79,63.43,53.58,10.62,10.62,8.34,Yarega
75,BO,94,-17.75,-63.0,77.0,77.0,8.05,Cotoca
0,RS,54,43.0,21.95,57.2,57.2,9.17,Leskovac
1,US,58,42.91,-85.79,30.2,28.74,8.05,Jenison
75,CV,64,15.13,-23.22,71.6,71.6,23.04,Vila do Maio
75,IN,56,24.21,84.87,71.6,71.6,10.29,Chatra
75,IE,100,53.0,-6.42,44.6,43.77,8.05,Wicklow
0,AR,73,-31.62,-60.7,59.31,59.31,8.34,Santa Fe
90,CA,92,48.39,-77.24,19.4,19.4,2.24,Senneterre
1,CA,68,53.95,-113.11,26.6,26.6,3.36,Redwater
0,IN,73,16.02,80.92,77.0,77.0,4.36,Avanigadda
64,RU,82,63.59,53.93,9.99,9.99,8.12,Sosnogorsk
